pop_size,mutation_rate,crossover_rate,run_id,generation,best_fitness,avg_fitness,best_string,distance_to_target,total_time_sec,found
50,0.001,0.5,1,1000,60,59.3,11010000000101000100111011111101,4,0.44017791748046875,0
50,0.001,0.5,2,1000,58,56.88,11000000010001100110100111110111,6,0.3772289752960205,0
50,0.001,0.5,3,1000,54,52.96,01110100000111010000101011110101,10,0.40080714225769043,0
50,0.001,0.5,4,1000,60,59.64,01010001000101000100101101111111,4,0.3781895637512207,0
50,0.001,0.5,5,1000,56,52.44,11010010110011000100101000111011,8,0.38851094245910645,0
50,0.001,0.5,6,1000,58,57.0,11010100000001100110101001111110,6,0.3860199451446533,0
50,0.001,0.5,7,1000,58,57.52,01010011000011000100100101111111,6,0.37050628662109375,0
50,0.001,0.5,8,1000,58,54.78,11010000100001000101110111101011,6,0.378448486328125,0
50,0.001,0.5,9,1000,58,57.04,11010001001101000100100110101111,6,0.3889319896697998,0
50,0.001,0.5,10,1000,58,56.74,11010100001001100000100011111111,6,0.38338613510131836,0
50,0.001,0.7,1,1000,58,56.42,11011000000010001100101110111110,6,0.39800190925598145,0
50,0.001,0.7,2,1000,60,58.24,01000001000101000100101111111111,4,0.39736032485961914,0
50,0.001,0.7,3,1000,60,57.74,11011000000101000100001111110111,4,0.42329955101013184,0
50,0.001,0.7,4,1000,60,57.48,10010001001001000100101111101111,4,0.41542553901672363,0
50,0.001,0.7,5,1000,58,55.76,10010001001001000100110011111111,6,0.399029016494751,0
50,0.001,0.7,6,1000,56,55.16,01010001100101000110100101011111,8,0.4330885410308838,0
50,0.001,0.7,7,1000,60,57.52,11010000010001000001001111111111,4,0.4053184986114502,0
50,0.001,0.7,8,1000,56,54.64,11001010010001000100111001110111,8,0.4238898754119873,0
50,0.001,0.7,9,1000,58,56.14,11011101000001000100001011111110,6,0.3973982334136963,0
50,0.001,0.7,10,1000,60,58.74,01010001000101000100101101111111,4,0.41316986083984375,0
50,0.001,0.9,1,1000,60,57.3,11010000100001001100101011111011,4,0.43323612213134766,0
50,0.001,0.9,2,1000,62,57.62,11010100000001000100001111111111,2,0.4312252998352051,0
50,0.001,0.9,3,1000,58,54.06,11010010000101001100001110101111,6,0.41875720024108887,0
50,0.001,0.9,4,1000,60,57.16,11010001000101000100100111101111,4,0.4183497428894043,0
50,0.001,0.9,5,1000,62,57.8,11010000100001000100101111110111,2,0.4299614429473877,0
50,0.001,0.9,6,1000,62,55.76,11010100000001000100101110111111,2,0.4212484359741211,0
50,0.001,0.9,7,1000,60,56.4,11110000000001000101101101111110,4,0.4424624443054199,0
50,0.001,0.9,8,1000,56,52.84,11110101000010000100101011101110,8,0.4167451858520508,0
50,0.001,0.9,9,1000,60,56.7,11010001001000000100101011111111,4,0.4178783893585205,0
50,0.001,0.9,10,1000,60,57.76,01110000000001010100100111111111,4,0.4188120365142822,0
50,0.005,0.5,1,894,64,60.46,11010000000001000100101111111111,0,0.34253478050231934,1
50,0.005,0.5,2,308,64,59.24,11010000000001000100101111111111,0,0.11846423149108887,1
50,0.005,0.5,3,135,64,58.98,11010000000001000100101111111111,0,0.05172276496887207,1
50,0.005,0.5,4,261,64,57.78,11010000000001000100101111111111,0,0.10180521011352539,1
50,0.005,0.5,5,884,64,60.92,11010000000001000100101111111111,0,0.3354783058166504,1
50,0.005,0.5,6,355,64,59.28,11010000000001000100101111111111,0,0.1339430809020996,1
50,0.005,0.5,7,192,64,57.5,11010000000001000100101111111111,0,0.07566452026367188,1
50,0.005,0.5,8,628,64,59.96,11010000000001000100101111111111,0,0.2455451488494873,1
50,0.005,0.5,9,788,64,60.22,11010000000001000100101111111111,0,0.30052614212036133,1
50,0.005,0.5,10,103,64,60.24,11010000000001000100101111111111,0,0.03867363929748535,1
50,0.005,0.7,1,146,64,56.86,11010000000001000100101111111111,0,0.05859827995300293,1
50,0.005,0.7,2,495,64,60.98,11010000000001000100101111111111,0,0.19765448570251465,1
50,0.005,0.7,3,889,64,58.48,11010000000001000100101111111111,0,0.37413859367370605,1
